code,tradeStatus,code_name
sh.600559,1,老白干酒
sh.600560,1,金自天正
sh.600561,1,江西长运
sh.600562,1,国睿科技
sh.600563,1,法拉电子
sh.600565,1,迪马股份
sh.600566,1,济川药业
sh.600567,1,山鹰纸业
sh.600568,1,*ST中珠
sh.600569,1,安阳钢铁
sh.600570,1,恒生电子
sh.600571,1,信雅达
sh.600572,1,康恩贝
sh.600573,1,惠泉啤酒
sh.600575,1,淮河能源
sh.600576,1,祥源文化
sh.600577,1,精达股份
sh.600578,1,京能电力
sh.600579,1,克劳斯
sh.600580,1,卧龙电驱
sh.600581,1,八一钢铁
sh.600582,1,天地科技
sh.600583,1,海油工程
sh.600584,1,长电科技
sh.600585,1,海螺水泥
sh.600586,1,金晶科技
sh.600587,1,新华医疗
sh.600588,1,用友网络
sh.600589,1,广东榕泰
sh.600590,1,泰豪科技
sh.600592,1,龙溪股份
sh.600593,1,大连圣亚
sh.600594,1,益佰制药
sh.600595,1,ST中孚
sh.600596,1,新安股份
sh.600597,1,光明乳业
sh.600598,1,北大荒
sh.600599,1,*ST熊猫
sh.600600,1,青岛啤酒
sh.600601,1,方正科技
sh.600602,1,云赛智联
sh.600603,1,广汇物流
sh.600604,1,市北高新
sh.600605,1,汇通能源
sh.600606,1,绿地控股
sh.600608,1,ST沪科
sh.600609,1,金杯汽车
sh.600610,0,ST毅达
sh.600611,1,大众交通
sh.600612,1,老凤祥
sh.600613,1,神奇制药
sh.600614,0,*ST鹏起
sh.600615,1,丰华股份
sh.600616,1,金枫酒业
sh.600617,1,国新能源
sh.600618,1,氯碱化工
sh.600619,1,海立股份
sh.600620,1,天宸股份
sh.600621,1,华鑫股份
sh.600622,1,光大嘉宝
sh.600623,1,华谊集团
sh.600624,1,复旦复华
sh.600626,1,申达股份
sh.600628,1,新世界
sh.600629,1,华建集团
sh.600630,1,龙头股份
sh.600633,1,浙数文化
sh.600634,1,*ST富控
sh.600635,1,大众公用
sh.600636,1,国新文化
sh.600637,1,东方明珠
sh.600638,1,新黄浦
sh.600639,1,浦东金桥
sh.600640,1,号百控股
sh.600641,1,万业企业
sh.600642,1,申能股份
sh.600643,1,爱建集团
sh.600644,1,乐山电力
sh.600645,1,中源协和
sh.600647,1,同达创业
sh.600648,1,外高桥
sh.600649,1,城投控股
sh.600650,1,锦江投资
sh.600651,1,*ST飞乐
sh.600652,1,ST游久
sh.600653,1,申华控股
sh.600654,1,ST中安
sh.600655,1,豫园股份
sh.600657,1,信达地产
sh.600658,1,电子城
sh.600660,1,福耀玻璃
sh.600661,1,昂立教育
sh.600662,1,强生控股
sh.600663,1,陆家嘴
sh.600664,1,哈药股份
sh.600665,1,天地源
sh.600666,1,ST瑞德
sh.600667,1,太极实业
sh.600668,1,尖峰集团
sh.600671,1,*ST目药
sh.600673,1,东阳光
sh.600674,1,川投能源
sh.600675,1,中华企业
sh.600676,1,交运股份
sh.600677,0,*ST航通
sh.600678,1,四川金顶
sh.600679,1,上海凤凰
sh.600681,1,百川能源
sh.600682,1,南京新百
sh.600683,1,京投发展
sh.600684,1,珠江实业
sh.600685,1,中船防务
sh.600686,1,金龙汽车
sh.600687,1,*ST刚泰
sh.600688,1,上海石化
sh.600689,1,上海三毛
sh.600690,0,海尔智家
sh.600691,1,阳煤化工
sh.600692,1,亚通股份
sh.600693,1,东百集团
sh.600694,1,大商股份
sh.600695,1,绿庭投资
sh.600696,1,ST岩石
sh.600697,1,欧亚集团
sh.600698,1,ST天雁
sh.600699,1,均胜电子
sh.600701,0,*ST工新
sh.600702,1,ST舍得
sh.600703,1,三安光电
sh.600704,1,物产中大
sh.600705,1,中航资本
sh.600706,1,曲江文旅
sh.600707,1,彩虹股份
sh.600708,1,光明地产
sh.600710,1,苏美达
sh.600711,1,盛屯矿业
sh.600712,1,南宁百货
sh.600713,1,南京医药
sh.600714,1,金瑞矿业
sh.600715,1,文投控股
sh.600716,1,凤凰股份
sh.600717,1,天津港
sh.600718,1,东软集团
sh.600719,1,大连热电
sh.600720,1,祁连山
sh.600721,1,ST百花
sh.600722,1,金牛化工
sh.600723,1,首商股份
sh.600724,1,宁波富达
sh.600725,1,ST云维
sh.600726,1,华电能源
sh.600727,1,鲁北化工
sh.600728,1,佳都科技
sh.600729,1,重庆百货
sh.600730,1,中国高科
sh.600731,1,湖南海利
sh.600732,1,爱旭股份
sh.600733,1,北汽蓝谷
sh.600734,1,*ST实达
sh.600735,1,新华锦
sh.600736,1,苏州高新
sh.600737,1,中粮糖业
sh.600738,1,兰州民百
sh.600739,1,辽宁成大
sh.600740,1,山西焦化
sh.600741,1,华域汽车
sh.600742,1,一汽富维
sh.600743,1,华远地产
sh.600744,1,华银电力
sh.600745,1,闻泰科技
sh.600746,1,江苏索普
sh.600748,1,上实发展
sh.600749,1,西藏旅游
sh.600750,1,江中药业
sh.600751,1,海航科技
sh.600753,1,东方银星
sh.600754,1,锦江酒店
sh.600755,1,厦门国贸
sh.600756,1,浪潮软件
sh.600757,1,长江传媒
sh.600758,1,辽宁能源
sh.600759,1,洲际油气
sh.600760,1,中航沈飞
sh.600761,1,安徽合力
sh.600763,1,通策医疗
sh.600764,1,中国海防
sh.600765,1,中航重机
sh.600766,1,园城黄金
sh.600767,1,ST运盛
sh.600768,1,宁波富邦
sh.600769,1,祥龙电业
sh.600770,1,综艺股份
sh.600771,1,广誉远
sh.600773,1,西藏城投
sh.600774,1,汉商集团
sh.600775,1,南京熊猫
sh.600776,1,东方通信
sh.600777,1,新潮能源
sh.600778,1,友好集团
sh.600779,1,水井坊
sh.600780,1,通宝能源
sh.600781,1,*ST辅仁
sh.600782,1,新钢股份
sh.600783,1,鲁信创投
sh.600784,1,鲁银投资
sh.600785,1,新华百货
sh.600787,1,中储股份
sh.600789,1,鲁抗医药
sh.600790,1,轻纺城
sh.600791,1,京能置业
sh.600792,1,云煤能源
sh.600793,1,宜宾纸业
sh.600794,1,保税科技
sh.600795,1,国电电力
sh.600796,1,钱江生化
sh.600797,1,浙大网新
sh.600798,1,宁波海运
sh.600800,1,天津磁卡
sh.600801,1,华新水泥
sh.600802,1,福建水泥
sh.600803,1,新奥股份
sh.600804,1,鹏博士
sh.600805,1,悦达投资
sh.600807,1,济南高新
sh.600808,1,马钢股份
sh.600809,1,山西汾酒
sh.600810,1,神马股份
sh.600811,1,东方集团
sh.600812,1,华北制药
sh.600814,1,杭州解百
sh.600815,1,*ST厦工
sh.600816,1,*ST安信
sh.600817,1,ST宏盛
sh.600818,1,中路股份
sh.600819,1,耀皮玻璃
sh.600820,1,隧道股份
sh.600821,1,*ST劝业
sh.600822,1,上海物贸
sh.600823,1,世茂股份
sh.600824,1,益民集团
sh.600825,1,新华传媒
sh.600826,1,兰生股份
sh.600827,1,百联股份
sh.600828,1,茂业商业
sh.600829,1,人民同泰
sh.600830,1,香溢融通
sh.600831,1,广电网络
sh.600833,1,第一医药
sh.600834,1,申通地铁
sh.600835,1,上海机电
sh.600836,1,*ST界龙
sh.600837,1,海通证券
sh.600838,1,上海九百
sh.600839,1,四川长虹
sh.600841,1,上柴股份
sh.600843,1,上工申贝
sh.600844,1,丹化科技
sh.600845,1,宝信软件
sh.600846,1,同济科技
sh.600847,1,万里股份
sh.600848,1,上海临港
sh.600850,1,华东电脑
sh.600851,1,海欣股份
sh.600853,1,龙建股份
sh.600854,1,春兰股份
sh.600855,1,航天长峰
sh.600856,1,*ST中天
sh.600857,1,宁波中百
sh.600858,1,银座股份
sh.600859,1,王府井
sh.600860,1,*ST京城
sh.600861,1,北京城乡
sh.600862,1,中航高科
sh.600863,1,内蒙华电
sh.600864,1,哈投股份
sh.600865,1,百大集团
sh.600866,1,星湖科技
sh.600867,1,通化东宝
sh.600868,1,梅雁吉祥
sh.600869,1,智慧能源
sh.600870,1,ST厦华
sh.600871,1,石化油服
sh.600872,1,中炬高新
sh.600873,1,梅花生物
sh.600874,1,创业环保
sh.600875,1,东方电气
sh.600876,1,洛阳玻璃
sh.600877,1,ST电能
sh.600879,1,航天电子
sh.600880,1,博瑞传播
sh.600881,1,亚泰集团
sh.600882,1,妙可蓝多
sh.600883,1,博闻科技
sh.600884,1,杉杉股份
sh.600885,1,宏发股份
sh.600886,1,国投电力
sh.600887,1,伊利股份
sh.600888,1,新疆众和
sh.600889,1,南京化纤
sh.600890,1,中房股份
sh.600891,0,*ST秋林
